ResponseId,party,open_ingroup,open_outgroup,in_middle_class,in_hardworking,in_reasonable,in_normal_ordinary,in_family_values,in_freedom,in_responsibility,in_similar_same,in_uneducated,in_selfish,in_disinformation,in_easily_influenced,in_rich_elite,in_populist,in_party_ano,in_party_spd,in_party_government,in_dont_know,in_tolerant,out_middle_class,out_hardworking,out_reasonable,out_normal_ordinary,out_family_values,out_freedom,out_responsibility,out_similar_same,out_uneducated,out_selfish,out_disinformation,out_easily_influenced,out_rich_elite,out_populist,out_party_ano,out_party_spd,out_party_government,out_dont_know,out_tolerant
R_24HzLEaogHn4WE9,ODS,"Samostatní, uvážliví, nesobečtí, pravdomluvní, zakládají si na tradičních hodnotách, snaží se být spravedliví, předvídaví, věří, že nejbližší pomocnou ruku najdou na konci svého ramene. ","ovlivnitelní, nespokojení se svým životem, čekající na zázrak, méně schopní se vypořádat s překážkami, snadno manipulovatení, méně uvažují samostatně, špatně se přizpůsobují změnám",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R_8fpovGASeuw9qnA,Pirati,"férovost - co řeknu, to platí; nesnažím se obejít opozici podvody, lží; snaha dosáhnout co největšího kompromisu; slušnost; zbytečně nestrašit, ale zase být upřímný; nedávat občanům peníze, když na rozdávání není, ale spíše je motivovat k získání peněz vlastním přičiněním","od státu by jen dostávali peníze, aniž by se sami přičinili o nějaký ten zisk; osoby s nižším vzděláním nebo inteligencí; mohou být i extrémisti ve svých názorech; rádi se hádají; nelze jim věřit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_8cFdgu3RYd2OPGF,STAN,Politika není rozhodujícím ve vztazích ,"Nelze rozeznat, politika není rozhodující ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2BY3u0aP8lEVBLO,KDU-CSL,"Normální lidi, kteří nevěří všemožným laciným volebním slibům a kteří vnímají potřebu jisté rozpočtové zodpovědnosti. Nevěří slibům, že důchodová reforma není potřeba, že stačí pouze změnit ""parametry"" současného systému","Nadávají na vše, kritizují jakýkoliv krok vlády, věří všemožným konspiracím, řetězovým emailům, většinou se jedná o sympatizanty Ruska, potažmo Putina.",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2smEGJVpCSzk0La,,"Všechno je uměle vyvolané,od covidu po greendeal, světu vládne mamon.","Greendeal je užitečný,Nato jsou přátelé,unie nás chrání ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2VEMIJxUnped5Eu,,Nevim nechci odpovidat moc se nebavim z lidma,Nevim moc se z lidmi o tom nebavim ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2lS4wmaIkltVp04,KSCM," spoustu lidí už poznali pravdu, která je jiná než nám pravice vtlouká do hlav a sliby pravice se rozplývají a řada lidí ví jaká je zkušenost","takové lidi jsou neustále přesvědčováni, že bude vše dobré a tito lidé asi také nemají hluboko do kapsy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_8WGzFBY9Dyg7sZc,ANO,"Rodina na prvním místě, chovat se slušně k ostatním lidem, národní hrdost","Agresivní, netolerantní, snadno ovladatelný ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_8KBZidWNXB6kcHg,ANO,"Zlí, falešní lidé. Myslí jen na sebe, okrádají všechny.",Podvodníci jedním slovem.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2DnCBHxi4TBTxnQ,Other,"Lidé kteří jednají na základě vlastního rozhodnutí, ziskanCh informací a sami se rozjoduji","Běž vlastního vůle, ovce které udělají co se jim rekne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_8KByGiqH0dhLVKh,ANO,"Příjemní, spolupracující, ochotní se dohodnout.","Každý má právo na svůj názor, byť může být odlišný, než můj. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2CU21U5VoNXXl0Q,KSCM,"Takový člověk je zodpovědný k sobě i celé společnosti pro kterou pracuje, také tak vystupuje, nepřetvařuje se a nemyslí jen na sebe.","Mám zájem o voliče, kteří jsou odborně zdatní, za kterými je vidět práce, je mi jedno z které strany pochází. Takových je bohužel málo.",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
