respondent_idx,mds_dim1,mds_dim2,party,ingroup_text
119,-0.27126352833411466,-0.18850429810608388,ANO,Ze to jsou lidi vzdělaní 
120,0.18925409076430444,0.19046209152991905,TOP09,"Lidé, kteří mají přehled o tom, co se ve světě, republice deje, lidé vzdělaní


"
121,0.5347738084189401,0.18225191942019983,ANO,"jak jsem již psala, každý má právo na svůj názor, vyznání a volbu, nesoudim.Kazdopadne je jasné že společné zájmy a názory spojují, s člověkem který volí jinou stranu se do větší debaty nepoustim aby situace neeskalovala. Se Stejnym voličem jako já si určitě vyměním ráda názory a postezujeme si :-)"
122,0.33389493498325296,-0.15615108115389872,Other,"Zastánci tradičních hodnot. Lidé toužící po svobodě, míru a spravedlnosti. Laskyplní lidé chtějící dobro pro všechny, empatičtí lidé."
123,-0.37371487183936475,0.5068496481118283,KDU-CSL,"laskaví, přátelští. Nerozlišuji jestli mají stejný názor nebo ne, Je mi to jedno"
124,0.553863861263908,0.44729549479549363,ODS,"Mají za sebou kus aktivního života, zažili potlačování osobních zájmů, jejich předci byli perzekuováni, dokáží si vážit svobody, nechtějí tadlužovat blastní děti"
125,0.6171809227629177,0.4698269776319868,Other,Vyššího věku a střední třídy.
126,0.4236518093434912,0.5661158258422152,Unknown," vlastní názor je důležitý, ale nemusí být  správný"
127,-0.2377114541112824,-0.7425366202975671,Unknown,se zdravým rozumem která se nenechá ovlivňovat
128,0.4914277390911661,-0.2543695142379315,KDU-CSL,"Jsou empatičtí, jde jim o budoucnost, snaží se vidět vše v širších souvislostech."
129,-0.6342395598971822,0.036106443885671906,Other,"Anarchisté podporující volný trh. Lidé věřící tomu, že vše, co neškodí okolí by mělo být legální. Ekonomická pravice požadující nízké až žádné daně a malou až žadnou moc státu."
130,-0.5622907765348029,-0.43668333657933267,ODS,"Mám své favority i své neoblíbence ale v rámci mého života mě nijak neovlivňuje, co se nyní odehrává na politické scéně. Peníze mít budu, pracovat budu zbytek se uvidí. "
131,0.7189316191823082,0.2084394809363563,ANO,"vyvstalé potíže řeší vlastním nasazením
spoléhají hlavně na sebe
plní bezezbytku své povinnosti pracovní, celospolečenské, etické, mravní"
132,-0.7207137059945445,-0.21954223547658624,ANO,"Realističtější, objektivní, sledující dění kolem sebe. "
133,0.315286753935207,-0.4012220044640532,ANO,"Jsou pro podporu Ukrajiny, podporu podrážky nacistického Ruska. Ale vadí jim, že současná vláda na své občany úplně kašle, vše zdražuje, máme snad nejdražší energie v EU, sami si zvyšují platy. "
134,-0.11141692613710227,-0.06358037526769224,Unknown,"lidé, kteří jsou vzdělání, nemusí úplně řešit existenční otázky. zajímají se o dění, ale nijak víc to neprožívají. jsou schopni dělat kompromisy "
135,0.024942531432875607,-0.24948787163193725,Pirati,"Lidé kolem mě, ve věku kolem 25-35 let, lidé kteří přemýšlejí nad budoucností jak svoji tak svých dětí a není jim jedno, v čem budou jejich děti vyrůstat. "
136,-0.08802823266111194,-0.01619661211599426,ANO,"To jsou lidé kteří si umějí spočítat, že nemohou utratit více peněz než si vydělají. Nebo musí mít našetřeno na horší časy."
137,-0.7565856647255715,0.20788718334112974,SPD,"Nepodporují migranty, nesouhlasí s energetickými opatřeními vůči Rusku a díky tomu zvyšování cen za elektriku a plyn, nesouhlasí s Green deal"
138,-0.34915218472222653,-0.08301241039757801,ODS,Lidi kteří v životě vědí co chtějí 
139,-0.34004199070299357,-0.4623966544500404,KSCM,Jsou empatičtí a vyrovnaní
140,0.38828811304202343,-0.4885630772144178,KSCM,lidé  chápající realitu života 
141,-0.2583921466819831,0.5127585547266275,Unknown,starší lidé mají podobné názory
142,0.5222693413690527,-0.5774749526998579,ANO,umějí počítat a proto se udrží při životě
143,-0.43045378830906433,-0.597395767076079,ODS,"otevřeni novým výzvám, rádi cestují, poznávají nové lidi a kultury, pracují na sobě a vzdělávají se"
